sira,score,mahkeme,daire,esas,kararno,tarih,sinyaller,kesit,konu
280,22.2,Yargıtay,9,2019/8033,4425,2020-03-24,gebe×6 | travma×2 | TCK 87/88 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. &nbsp; Eşit davranma borcuna aykırılığı ispat yükü…",ALACAK DAVASI - ÜCRET ALACAKLARININ MUVAZAYA DAYALI OLARAK EKSİK ÖDENMESİNİN DİL IRK CİNSİYET SİYASAL DÜŞÜNCE FELSEFİ İNANÇ DİN VE MEZHEP GİBİ SEBEPLERE DAYALI OLDUĞUNUN İDDİA VE İSPAT EDİLEMEDİĞİ - H
281,22.1,Anayasa,GK,2009/85,49,2011-03-10,gebe×7 | travma×5 | illiyet×3 | TCK 87/88 | aile içi,"…, evlendirme memuruna veya nüfus idaresine yapacağı yazılı başvuruyla kocasının soyadı önünde önceki soyadını da kullanabilmesine ilişkindir. Yasanın emredici düzenlemesi karşısında, kadının evlenmesi halinde tek başına kızlık soyadını kullanabilmesi olanaksız gibi görünmektedir. Nitekim, Anayasa Mahkemesi de 29 Ekim 1998 tarih esas 1997/61, karar 1998/59 sayılı kararında, önceki Medeni Kanun'un aynı…","ANAYASA MAHKEMESİNİN E: 2009/85 (4721 SAYILI KANUN İLE İLGİLİ), K: 2011/49 SAYILI KARARI"
282,22,A.İ.H.M.,A.İ.H.M.,2011/63034,,2016-06-28,gebe×8 | travma×98 | TCK 87/88 | aile içi,"…ddedilmesinin uygun olduğu kanaatine varmıştır. Bu nedenle, başka bir suçtan tutuklu ya da hükümlü değilse veyahut başka bir suçtan hakkında yakalama emri düzenlenmemişse şüphelinin derhal serbest bırakılmasına karar vermiştir. Bunun yanı sıra, S.B. nin haftada iki defa polis merkezine giderek imza atması yönünde adli kontrol tedbiri uygulanmasına karar verilmiş olup, söz konusu adli kontrol tedbirin…",HALİME KILIÇ - TÜRKİYE DAVASI 
283,21.8,Yargıtay,6,2019/992,3169,2019-05-20,gebe×4 | travma×3 | TCK 87/88 | cenin/düşük,"…Akdeniz Üniversitesi Tıp Fakültesi Adli Tıp Anabilim Dalı Başkanlığı&rsquo;nın 21.05.2018 günlü raporunda mağdurun &ldquo;10 gün sonra saptanan düşük/gebelik kaybının tam olarak ne zaman gerçekleştiği, olay gününe ait bir hususiyet olup olmadığı konularında kesin bir yargıya varılamayacağının&rdquo; belirtildiği, sanığın ise tüm aşamalarda suçlamayı kabul edip mağdurun hamile olduğunu bilmediğini ileri sürmes…",NİTELİKLİ YAĞMA SUÇU - 5237 SAYILI TCKNİN İLGİLİ MADDESİNDE DÜZENLENEN ORANTILILI İLKESİYLE BAĞDAŞMAYACAK ŞEKİLDE YERİNDE VE YETERLİ OLMAYACAK GEREKÇE İLE TEMEL CEZANIN EN ÜST HADDEN TAYİNİ BOZMAYI GE
284,21.7,Yargıtay,2,2023/4191,3561,2023-07-04,gebe×3 | travma×5 | illiyet×6 | cenin/düşük,"…mesini talep ve dava etmiştir. III. İLK DERECE MAHKEMESİ KARARI İlk Derece Mahkemesinin yukarıda tarih ve sayısı belirtilen kararı ile erkeğin, kadın düşük yaptığında ve en son doğumunda manevî olarak destek olmadığı yalnız bıraktığı, ailesinin yanında \""...alın kızınızı başınıza çalın...\"" diyerek kadını aşağıladığı, kadının maaşını erkeğe verdiği, çalışmasına rağmen cebinde parası olmadığı, harçlıksız ka…",YARGITAY KARARI
285,21.7,Yargıtay,2,2024/3369,4398,2024-06-10,gebe×3 | travma×5 | illiyet×6 | cenin/düşük,"…etmiştir. III. İLK DERECE MAHKEMESİ KARARI İlk Derece Mahkemesinin 23.06.2022 tarihli, 2021/135 Esas, 2022/434 Karar sayılı kararı ile erkeğin, kadın düşük yaptığında ve en son doğumunda manevî olarak destek olmadığı yalnız bıraktığı, ailesinin yanında \""...alın kızınızı başınıza çalın...\"" diyerek kadını aşağıladığı, kadının maaşını erkeğe verdiği, çalışmasına rağmen cebinde parası olmadığı, harçlıksız ka…",YARGITAY KARARI
286,21.6,Yargıtay,2,2023/1028,3481,2023-06-21,gebe×15 | travma×9 | illiyet×1 | cenin/düşük,"…davacı erkek ve ailesi tarafından ezildiğini, kendisini kuma gibi hissettiğini, görümcesi tarafından sürekli dışlandığını, kayınvalidesinin kendisine emrivaki cümleler sarf ettiğini ve akşam uyuyacakları zaman kapıyı vurmadan odalarına girdiğini kayınpederinin de bu şekilde davrandığını, kayınpederi ve kayınvalidesinin evde sürekli huzursuzluk çıkardıklarını, kadına hakaretler yağdırdıklarını, davalı…",YARGITAY KARARI
287,21.5,Anayasa,1,2019/34996,,2022-07-26,gebe×1 | travma×19 | illiyet×13 | trafik/iş kaz,"…17/10/2015 tarihinde Y.D.nin üç aya kadar tazyik hapsine tabi tutulmasına karar vermiştir. Başsavcılık 10/11/2015 tarihinde Y.D. hakkındaki yakalama emrini kaldırarak Y.D.ye on gün süre vermiştir. Verilen sürenin yerindeliği ve bu sürede kolluğun, hakkında birçok kayıt bulunan Y.D. hakkında tedbir almamasının ölüm olayına sebebiyet verdiği dikkate alınmalıdır. &nbsp; iv. Y.D. hakkında üç ceza yargıl…",ANAYASA MAHKEMESİNİN 26/7/2022 TARİHLİ VE 2019/34996 SAYILI KARARI (BİREYSEL BAŞVURU) 
288,21.5,Yargıtay,16,2019/11498,3604,2020-06-25,gebe×3 | travma×73 | illiyet×5 | TCK 87/88,"…etmek suretiyle de iştirak edebileceği görülmektedir. Konusu suç teşkil eden emir hiçbir surette yerine getirilemez. Aksi takdirde yerine getiren ile emri veren sorumlu olur (1982 Anayasasının 137/2, 5237 sayılı Türk Ceza Kanununun 24/3. maddesi). Askeri hizmete müteallik hususlarda verilen emir bir suç teşkil ederse bu suçun işlenmesinden emri veren mesuldür. Ancak amirin emrinin adli ve askeri bir…",YARGITAY KARARI
289,21.4,Danıştay,10,2019/6186,5714,2019-09-17,gebe×62 | travma×12 | illiyet×2 | TCK 87/88,"…kalp atışı negatif olan 39 haftalık gebelik tespit edilmiş, vajinal muayenede rahim ağzı açıklık 2 cm, silinme %50 olduğu belirlenmiş, hasta miadında intrauterin ölü fetüs tanısı ile yatırılmış, normal doğum kararı alınmış, saat 23:00&#39;da yapılan gebelik muayenesinde ise kollum açıklığı 7-8 cm olduğu tespit edilmiş, 13/04/2012 tarihinde, saat 00:30&#39;da normal vajinal doğum ile 3500 gr. ağırlığında ölü bir…",DANIŞTAY KARARI
290,21.4,Danıştay,10,2022/2208,2091,2025-04-17,gebe×21 | travma×2 | illiyet×1 | cenin/düşük | aile içi,"…eşlerden birinin ölümü ibaresinin iptali istemiyle açılmıştır. Dosyanın incelenmesinden, tüp bebek merkezinde tedavi işlemlerine başlayarak sağlıklı emriyo elde edildikten, ancak emriyo transferi işlemi gerçekleşmeden önce eşi ölen davacının davalı idareye 29/12/2021 tarihinde tebliğ edilen başvurusunda, kendisi ve eşine ait olan üreme hücreleri, gonad dokuları ve embriyoların dondurulmasının devamı…",DANIŞTAY KARARI
291,21.2,Yargıtay,4,2012/18482,16631,2013-10-30,gebe×16 | travma×7 | illiyet×18,"…an temyiz edilmiştir. Asıl davada; davacı ... dava dilekçesinde; ikiz hamilelik durumunun olduğu sırada davalıların kendisini darp etmeleri nedeniyle erken doğum yaptığını, doğumdan kısa bir süre sonra ikiz bebeklerinden birinin vefat ettiğini, diğerinin ise zeka ve bedensel özürlü olduğunun anlaşıldığını belirterek tedavi gideri ve manevi tazminat; birleşen dosyada ise; aynı olaydan dolayı erken doğum neden…",YARGITAY KARARI
292,21.2,Yargıtay,17,2016/10701,4984,2019-04-18,gebe×2 | travma×10 | illiyet×1 | cenin/düşük | trafik/iş kaz,"…ın ölümüne sebebiyet verdiğini, müvekkili ...'ın (1983 d.lu) 7 aylık hamile iken meydana gelen kazada çocukların hayati tehlike geçirmeleri nedeniyle erken doğum yapmak zorunda kaldığını, diğer ...'ın (1943 d.lu) ise meydana gelen kaza sonucunda uzun süre komadan çıkamadığını ve halen tedavi gördüğünü, ilgili Yargıtay kararlarında da belirtildiği üzere maddi ve manevi tazminata hükmedilebilmesi için ortada m…",YARGITAY KARARI
293,21.2,Yargıtay,3,2020/13784,17120,2020-11-24,gebe×4 | travma×2 | TCK 87/88 | cenin/düşük,"…ştekinin soruşturma aşamasındaki ifadesine, sanık savunması ve dinlenen tanık beyanı ile dosya kapsamına göre; müştekinin darp edildikten 5 gün sonra düşük yaptığı, 30.12.2015 tarihli Adli Tıp Kurumu 2. İhtisas Kurulunun raporuna göre ""...dolayısıyla, gebeliğin düşükle sonuçlanmasının travmaya mı bağlı olduğu yoksa gebeliğin kendisinden gelişen bir durum mu olduğu hususunda tıbben ayrım yapılamadığı""nın bi…",YARGITAY KARARI
294,21.1,Yargıtay,CG,2018/92,452,2022-06-21,gebe×7 | travma×96 | illiyet×3 | TCK 87/88,"…odaya geçerek durum değerlendirmesi yaptık, ikimizde bu eylemin yanlış bir karar olduğunu değerlendirdik, ... Kod ...'te bana bunun Berzan Öztürk'ün emri olduğunu ve bu emri yerine getireceğimizi belirtti, o gece orada kaldık. Sabahleyin ayrıldık, bundan bir süre önce ... benim dükkanıma geldi ve ... Kod ...'in talimatı ile bomba kalıpları yaptırdığını bunları, Bayrampaşa Semtinde bir tornacıya bomb…",YARGITAY KARARI
295,21.1,Yargıtay,3,2021/3304,3017,2022-05-26,gebe×1 | travma×9 | illiyet×6 | TCK 87/88,…yine icrai bir hareketle katılması mümkün olduğu gibi garantörlük yükümlülüğünü ihmal etmek suretiyle de iştirak edebileceği görülmektedir. Bağlayıcı emrin yerine getirilmesi kapsamında astların hukuki sorumluluğu: Ayrıntılarına Dairenin 09.12.2019 tarih ve 2019/6765 esas - 2019/8453 sayılı kararında yer verildiği üzere: 5237 sayılı TCK'nın benimsediği suç teorisine göre: tipe uygun ve hukuka aykırı…,YARGITAY KARARI
296,21.1,Danıştay,2,2024/2938,1595,2025-03-28,gebe×7 | travma×8 | illiyet×4 | TCK 87/88,"…hastalıkları hastanesinde kayıtsız şekilde muayene ettirmesi şeklindeki kabul edilemez davranışı karşısında ne yapacağını bilemediği, rızası hilafına emrivaki ile yapılan bu görüşmeyle derinden sarsıldığı ve etkilendiği; eski müdürü olan ...'nın, 23/12/2015 tarihinde hakkında düzenlediği Personel Gözlem raporuna binaen hak arama hezeyanına düçar olduğu iddiasıyla ...Sulh Hukuk Mahkemesinin E:... sayı…",DANIŞTAY KARARI
297,21.1,Yargıtay,HG,2018/246,470,2022-04-05,gebe×1 | travma×1 | illiyet×10 | TCK 87/88,"…e nakden ödenir. 40. Çeklerin devrinin nasıl yapılacağı TTK’nın 788. maddesinde poliçeden ayrı ve özel olarak düzenlenmiştir. Bu maddeye göre açıkça “emre yazılı” kaydıyla veya bu kayıt olmadan belirli bir kişi lehine ödenmesi şart kılınan bir çek, ciro ve zilyetliğin geçirilmesiyle devredilebilir. Keza TTK’nın 818. maddesinin göndermesi ile aynı Kanun’un 684. maddesine göre, ciro ve zilyetliğin geçi…",YARGITAY KARARI
298,21.1,Yargıtay,4,2009/11806,7278,2010-06-16,gebe×9 | travma×6 | cenin/düşük | trafik/iş kaz,"…iz itirazları reddedilmelidir. 2- Davalıların maddi tazminata ilişkin temyiz itirazına gelince; dava, trafik kazası nedeniyle, davacılardan Fatma'nın düşük yapmasından dolayı uğranılan maddi ve manevi zararın ödetilmesi istemine ilişkindir. Yerel mahkemece, istemin bir bölümü kabul edilmiş; karar, davalılar Metin ile Enver tarafından temyiz olunmuştur. Davacılar, davalı sürücünün kusuru ile meydana gelen t…",MADDİ VE MANEVİ TAZMİNAT DAVASI - DAVACININ TRAFİK KAZASI GEÇİRDİĞİ SIRADA HAMİLE OLDUĞU - KAZAYA BAĞLI OLARAK DÜŞÜK DURUMUNUN GERÇEKLEŞTİĞİ - CENİNİN KİŞİLİĞİNİN BULUNMADIĞI - CENİN İÇİN İSTENEN DEST
299,21,Yargıtay,12,2014/10391,9571,2015-06-02,gebe×13 | travma×4 | illiyet×3 | cenin/düşük,"…i söyleyerek ölene iki seçenek sunarak, tampon uygulaması yapılabileceğini ya da kürtaj ile çocuğun alınması gerektiğini söylediği, daha önce 3 sefer düşük yapmış olan ve 4 yıldır hamile kalabilmek için tedavi gören ölenin tampon uygulamasını kabul ettiği ve sanığın, ölene tampon uygulaması yaptığı, anılan uygulamadan sonra belirli aralıklarla kontrole gittiği, olay tarihinde tekrar ölenin suyunun gelmesi…",YARGITAY KARARI
300,21,Danıştay,15,2016/155,1472,2017-03-30,gebe×17 | travma×11 | cenin/düşük,"…mesince; .... İmam-Hatip Lisesi’nde coğrafya öğretmeni olarak görev yapan davacının ikiz gebelik nedeniyle doğum iznini kullandığı sırada 32 haftalık erken doğum ağrıları nedeniyle kontrollerini yapmakta olan doktorunun çalıştığı özel polikliniğe başvurduğu, doktoru tarafından burada yapılan kontrolde doğumun başladığının, bebeklerin kilolarının düşük olduğunun, yeni doğan yoğun bakım ünitesi olan bir sağlık…",DANIŞTAY KARARI
301,21,Yargıtay,11,2018/4239,5756,2019-09-24,gebe×13 | travma×4 | illiyet×3 | cenin/düşük,"…illerinden ...’un hamile olduğunu, Antalya’da bulunan doktorunun daha önceden yaptığı tetkikler neticesinde rahim ağzındaki açıklığın ileriki aylarda düşük yapma riskini % 90’lara çıkarabileceğini söyleyip 20/04/2015 tarihinde ameliyat yapılmak üzere müvekkiline randevu verildiğini, müvekkillerinin bileti daha önce alınmış 19/04/2015 tarihi saat 14:20’de Dubai-İstanbul seferini yapacak uçağa binmek üzere 3…",YARGITAY KARARI
302,21,Yargıtay,CG,2014/357,310,2017-06-06,gebe×30 | travma×19 | cenin/düşük,"…ontrol eden doktorun, kızlarının yedi aylık hamile olduğunu söylediğini, aynı gün akşam köylerine döndüklerini, evde ...'nın kendi kendine zıplayarak düşük yaptığını, ölü bebeği evde bulunan file torbaya koyarak sanığın kullandığı traktörle götürdükleri Murat Nehrine attıklarını, evde sanığın kendisine “Koynumuzda yılan beslemişiz, ben buna çok iyilik yaptım, ama bu benim çocuğuma tecavüz ettiği için ...'n…",YARGITAY KARARI
303,21,Danıştay,10,2022/5357,1227,2023-03-14,gebe×14 | travma×2 | illiyet×4 | cenin/düşük,"…yabet, annesinde ise kalp hastalığının olduğu, son adetinin 08/08/2015 günü gerçekleştiği, ilk adetin 13 yaşında başladığı, 3 kez gebelik yaşadığı, 1 abortusun olduğu, 1992 yılda 9 ay gebelik süresiyle, normal doğum yoluyla, 3.020 gr erkek bebek, 1997 yılında 9 ay gebelik süresiyle, normal doğum yoluyla, 3.200 gr erkek bebek doğumunun olduğu, Davacının serviks uterinin enflamatuar hastalığı tanısıyla 0…",DANIŞTAY KARARI
304,21,Yargıtay,1,2023/6393,1440,2024-03-05,gebe×56 | travma×10 | cenin/düşük,"…i bu olayı bir başkası yaşamış gibi reddettiği, hastaneye gittiğinde acilde görev yapan tanık olarak dinlenen doktor M.Y.'ye doğum yapıp yapmadığını, düşük yapıp yapmadığını defalarca sormasına rağmen yapmadım cevabını verdiği, böyle bir olay yokmuş gibi davranıp çevresindekilere de bu şekilde cevaplar verdiği, oysa ki tahlillerinde hamilelik geçirdiğinin rahatlıkla anlaşılabildiği, bunu bile bile soran do…",YARGITAY KARARI
305,20.9,Yargıtay,2,2024/266,7506,2024-10-16,gebe×1 | travma×4 | TCK 87/88 | cenin/düşük,"…aşlarının önünde küçük düşürdüğünü, en ufak şeyde tartışma çıkardığını, kendisini atmakla tehdit ettiğini, habersiz spiral taktırdığını, hamile kalıp düşük yaptığı şeklinde yalan söylediğini, her şeyi ailesine anlattığını, ailesi için kredi çektiğini, beddua ettiğini, büyü ve muska yaptırdığını, eski nişanlısı ile kıyasladığını, tehdit ettiğini, kardeşinin erkeğin kolunu ısırdığını, ailesini aşağıladığını,…",YARGITAY KARARI
306,20.9,Yargıtay,2,2024/2519,2709,2024-04-22,gebe×1 | travma×4 | TCK 87/88 | cenin/düşük,"…jlar gönderdiğini, kadının ailesi ile görüşmesinin yasaklandığını, erkeğin annesinin kadına hakaret ettiğini, erkeğin sorumsuz davranışları nedeniyle düşük yaptığını, erkeğin fiziksel şiddet uyguladığını ve kadının ailesine hakaret ettiğini belirterek karşı davanın kabulü ile 4721 sayılı Kanunun 166 ncı maddesinin birinci fıkrası uyarınca tarafların boşanmalarına, kadın yararına aylık 750,00 TL tedbir ve y…",BOŞANMA DAVASI - MAHKEMECE KESİNLEŞEN YOKSULLUK NAFAKASI İLE ERKEĞİN DAVASININ REDDİ NEDENİYLE KADIN YARARINA YENİDEN VEKALET ÜCRETİNE HÜKMEDİLMESİNİN HATALI OLDUĞU - BOZMAYI GEREKTİRDİĞİ - HÜKMÜN BOZ
307,20.9,Yargıtay,HG,2023/50,417,2024-09-12,gebe×1 | travma×4 | TCK 87/88 | cenin/düşük,"…vekili dava dilekçesinde; davalılardan ...'in müvekkilinin kızı diğer davalı ...'in ise damadı olduğunu, davalı ...’in evlendikten sonra hamile kalıp düşük yapması nedeniyle ruhsal bunalıma girdiğini, müvekkilinin o dönemde kızına sahip çıkmak için davalıların yanına yerleştiğini, evdeki temizlik işlerini yaptığını, çocukları olduktan sonra çocuğa da baktığını, davalıların müvekkiline; \""sen bizim yanımızd…",YARGITAY KARARI
308,20.8,Sayıştay,STK,,41769,2016-04-05,gebe×2 | travma×3 | TCK 87/88 | cenin/düşük,"…alar Kanunu ve 2822 Sayılı Toplu İş Sözleşmesi Grev ve Lokavt Kanunu (TİSGLK) ile düzenlendiğini, işyeri uygulamasında ve işçi-işveren ilişkilerinde, emredici yasa hükümlerinden sonraki kaynak olduğunu, çalışma koşulları ve ücreti belirleyen ""normatif' hükümler ile işçi sendikası ve işveren sendikası ya da sendika üyesi olmayan işveren arasındaki ilişkileri düzenleyen ""düzenleyici"" hükümlerinin bulun…",TAZMİN HÜKMÜNÜN KALDIRILMASI İSTEMİ - İŞVEREN HAKLI NEDENLERİN BULUNMASI DURUMUNDA ÜCRET BAKIMINDAN İŞÇİLER ARASINDA AYIRIM YAPABİLİR VE FARKLI ÜCRET TESPİT EDEBİLECEĞİ - TEMYİZ KURULU KARARININ DÜZEL
309,20.8,Danıştay,10,2022/445,2475,2025-05-08,gebe×34 | travma×5 | illiyet×4 | obstetrik komp.,"…yasının incelenmesinden, ...’ın ... tarihinde ... Hastanesine miadında suları gelen ağrılı gebe olarak başvurduğu, ilk gebeliği olduğu, saat 12.51’de erken membran rüptürü (gebelikte erken su gelişi) tanısı ile yatırıldığı, vajinal muayenede, kollum açıklığı: 1cm, silinme: %10, ÇKS:142 olduğu, su kesesi (-) olduğu tespitinin yapıldığı, gebelik USG tetkiki yapıldığı, saat 13.40’da NST (bebeğin anne karnındaki sağlık…",DANIŞTAY KARARI
310,20.8,Yargıtay,HG,2015/872,437,2017-03-08,gebe×2 | travma×3 | TCK 87/88 | cenin/düşük,"…alt işveren işçisi olarak gösterilen işçinin asıl işverenin kadrolu işçileri ile aynı ücreti talep etmesi 4857 sayılı İş Kanunu'nun 2 nci maddesinin emredici hükmüdür. Ayrıca asıl işverenin işyerinde uygulanan toplu iş sözleşmesinden yararlanması da mümkün olacaktır. ( Ünal, N.: Toplu İş İlişkileri, Yeni Mevzuata Göre Yazılmış 2. Baskı, s. 411) Öte yandan istek döneminde (01.05.2009-29.12.2009) yürü…",YARGITAY KARARI
311,20.8,Anayasa,GK,2013/3924,,2015-01-06,gebe×4 | travma×42 | illiyet×4 | TCK 87/88,"…remediği direniş karşısında, bu direnişi kırmak amacıyla ve kıracak ölçüde, c) Hakkında tutuklama, gözaltına alma, zorla getirme kararı veya yakalama emri verilmiş olan kişilerin ya da suçüstü halinde şüphelinin yakalanmasını sağlamak amacıyla ve sağlayacak ölçüde, silah kullanmaya yetkilidir. Polis, yedinci fıkranın (c) bendi kapsamında silah kullanmadan önce kişiye duyabileceği şekilde ""dur"" çağrıs…",ANAYASA MAHKEMESİNİN 6/1/2015 TARİHLİ VE 2013/3924 SAYILI KARARI (BİREYSEL BAŞVURU)
312,20.7,Yargıtay,2,2024/756,822,2024-02-13,gebe×3 | travma×2 | TCK 87/88 | cenin/düşük,"…e koymayıp zaman zaman şiddet uyguladıklarını iki kez hamile kalan davacının kendisinin ve kayınvalidesinin evinde çalıştırıldığı için doğuma az kala düşük yaptığını bu nedenle çocuklarının olmadığını müvekkilinin 05.07.2015 tarihinde hastaneye yatıp düşük yaptığını, davalı ...'un bunu öğrenince hastaneden ayrılıp davacının kardeşini arayarak “gidin hastaneden kardeşinizi alın, ben istemiyorum artık, doğum…",YARGITAY KARARI
